BTC,BTC_time,ETH,ETH_time,XRP,XRP_time
4084.03,1502668800,295.31,1502668800,0.1665,1502668800
4086.08,1502672400,301.75,1502672400,0.1684,1502672400
4074.22,1502676000,304.3,1502676000,0.1746,1502676000
3991.95,1502679600,301.9,1502679600,0.1749,1502679600
4046.93,1502683200,300.91,1502683200,0.1725,1502683200
4033.18,1502686800,302.75,1502686800,0.1746,1502686800
4090.43,1502690400,303.89,1502690400,0.1759,1502690400
4074.77,1502694000,302.57,1502694000,0.1726,1502694000
4143.82,1502697600,300.82,1502697600,0.1701,1502697600
4204.6,1502701200,300.34,1502701200,0.1701,1502701200
4206.92,1502704800,300.53,1502704800,0.1703,1502704800
4165.91,1502708400,302.1,1502708400,0.1692,1502708400
4203.6,1502712000,301.76,1502712000,0.1699,1502712000
4254.57,1502715600,300.02,1502715600,0.1679,1502715600
4266.92,1502719200,298.46,1502719200,0.1675,1502719200
4246.56,1502722800,295.38,1502722800,0.1673,1502722800
4286.78,1502726400,297.54,1502726400,0.168,1502726400
4287.25,1502730000,296.91,1502730000,0.1674,1502730000
4290.19,1502733600,298.3,1502733600,0.1684,1502733600
4219.21,1502737200,300.69,1502737200,0.168,1502737200
4256.72,1502740800,299.06,1502740800,0.1674,1502740800
4290.85,1502744400,297.82,1502744400,0.1673,1502744400
4260.74,1502748000,297.8,1502748000,0.1678,1502748000
4327.94,1502751600,299.16,1502751600,0.1683,1502751600
4352.01,1502755200,297.2,1502755200,0.1666,1502755200
4372.03,1502758800,295.05,1502758800,0.1668,1502758800
4408.67,1502762400,293.6,1502762400,0.1614,1502762400
4416.59,1502766000,291.99,1502766000,0.1625,1502766000
4367.16,1502769600,292.83,1502769600,0.1639,1502769600
4384.73,1502773200,292.35,1502773200,0.1639,1502773200
4258.79,1502776800,290.18,1502776800,0.1632,1502776800
4305.42,1502780400,293.47,1502780400,0.1641,1502780400
4231.01,1502784000,292.69,1502784000,0.1623,1502784000
4143.89,1502787600,290.26,1502787600,0.1624,1502787600
4069.51,1502791200,285.62,1502791200,0.1599,1502791200
4124.8,1502794800,287.34,1502794800,0.1595,1502794800
4067.19,1502798400,285.42,1502798400,0.158,1502798400
3972.67,1502802000,281.1,1502802000,0.158,1502802000
3910.27,1502805600,276.29,1502805600,0.1544,1502805600
3998.49,1502809200,279.39,1502809200,0.157,1502809200
4082.48,1502812800,282.53,1502812800,0.1576,1502812800
4098.06,1502816400,285.69,1502816400,0.1575,1502816400
4068.97,1502820000,284.03,1502820000,0.1574,1502820000
4057.59,1502823600,283.79,1502823600,0.1551,1502823600
4077.5,1502827200,282.79,1502827200,0.156,1502827200
4133.36,1502830800,284.66,1502830800,0.1555,1502830800
4184.71,1502834400,285.07,1502834400,0.1569,1502834400
4161.66,1502838000,286.52,1502838000,0.1577,1502838000
4146.56,1502841600,287.33,1502841600,0.1555,1502841600
4155.92,1502845200,287.01,1502845200,0.1556,1502845200
4041.76,1502848800,283.45,1502848800,0.1537,1502848800
4080.03,1502852400,286.35,1502852400,0.1545,1502852400
4053.84,1502856000,285.04,1502856000,0.153,1502856000
3993.01,1502859600,283.17,1502859600,0.1503,1502859600
4059.1,1502863200,283.59,1502863200,0.1516,1502863200
4073.09,1502866800,284.84,1502866800,0.1527,1502866800
4163.84,1502870400,287.28,1502870400,0.152,1502870400
4144.43,1502874000,288.22,1502874000,0.1534,1502874000
4102.79,1502877600,290.9,1502877600,0.1538,1502877600
4088.78,1502881200,296.2,1502881200,0.153,1502881200
4129.0,1502884800,296.3,1502884800,0.1532,1502884800
4127.06,1502888400,299.23,1502888400,0.155,1502888400
4122.89,1502892000,300.65,1502892000,0.1563,1502892000
4309.22,1502895600,300.2,1502895600,0.157,1502895600
4304.38,1502899200,302.69,1502899200,0.1561,1502899200
4293.85,1502902800,300.92,1502902800,0.1563,1502902800
4317.24,1502906400,301.83,1502906400,0.1564,1502906400
4312.38,1502910000,298.01,1502910000,0.1578,1502910000
4359.57,1502913600,300.09,1502913600,0.1585,1502913600
4335.16,1502917200,301.03,1502917200,0.1584,1502917200
4334.3,1502920800,300.13,1502920800,0.1583,1502920800
4387.4,1502924400,301.38,1502924400,0.1603,1502924400
4368.94,1502928000,305.02,1502928000,0.1601,1502928000
4347.47,1502931600,303.26,1502931600,0.1593,1502931600
4338.63,1502935200,301.28,1502935200,0.1589,1502935200
4286.49,1502938800,299.96,1502938800,0.159,1502938800
4314.76,1502942400,300.86,1502942400,0.1586,1502942400
4320.85,1502946000,302.69,1502946000,0.1585,1502946000
4317.09,1502949600,303.03,1502949600,0.1581,1502949600
4360.0,1502953200,307.08,1502953200,0.1586,1502953200
4364.52,1502956800,308.76,1502956800,0.1583,1502956800
4455.88,1502960400,309.85,1502960400,0.1591,1502960400
4468.02,1502964000,307.64,1502964000,0.1595,1502964000
4426.28,1502967600,308.08,1502967600,0.1591,1502967600
